,Classifier_1,Classifier_2,Test,Null Hypo,Win,Lost,Bon,BWin,Blost,Dataset,,,,Row Labels,Count of BWin,Count of Blost
22,LR,GP,Wilcoxon,Reject,GP,LR,Reject,GP,LR,DataClass,,,,,,
23,LR,NB(B),Wilcoxon,Accept,,,Accept,,,DataClass,,,,,,
24,LR,NB(G),Wilcoxon,Reject,LR,NB(G),Reject,LR,NB(G),DataClass,,,,,,
25,LR,NB(M),Wilcoxon,Reject,LR,NB(M),Reject,LR,NB(M),DataClass,,,,,,
26,LR,LDA,Wilcoxon,Reject,LR,LDA,Reject,LR,LDA,DataClass,,,,,,
27,LR,KNN,Wilcoxon,Reject,KNN,LR,Accept,,,DataClass,,,,,,
28,LR,Stack-LR,Wilcoxon,Reject,Stack-LR,LR,Reject,Stack-LR,LR,DataClass,,,,,,
29,LR,Stack-DT,Wilcoxon,Reject,Stack-DT,LR,Reject,Stack-DT,LR,DataClass,,,,,,
30,LR,Stack-SVM,Wilcoxon,Reject,Stack-SVM,LR,Reject,Stack-SVM,LR,DataClass,,,,,,
31,SVM(Lin),SVM(Poly),Wilcoxon,Reject,SVM(Lin),SVM(Poly),Accept,,,DataClass,,,,,,
32,SVM(Lin),SVM(Sig),Wilcoxon,Reject,SVM(Lin),SVM(Sig),Reject,SVM(Lin),SVM(Sig),DataClass,,,,,,
33,SVM(Lin),SVM(RBF),Wilcoxon,Reject,SVM(RBF),SVM(Lin),Reject,SVM(RBF),SVM(Lin),DataClass,,,,,,
34,SVM(Lin),MLP,Wilcoxon,Reject,MLP,SVM(Lin),Reject,MLP,SVM(Lin),DataClass,,,,,,
35,SVM(Lin),SGD,Wilcoxon,Reject,SVM(Lin),SGD,Reject,SVM(Lin),SGD,DataClass,,,,,,
36,SVM(Lin),GP,Wilcoxon,Reject,GP,SVM(Lin),Reject,GP,SVM(Lin),DataClass,,,,,,
37,SVM(Lin),NB(B),Wilcoxon,Accept,,,Accept,,,DataClass,,,,,,
38,SVM(Lin),NB(G),Wilcoxon,Reject,SVM(Lin),NB(G),Reject,SVM(Lin),NB(G),DataClass,,,,,,
39,SVM(Lin),NB(M),Wilcoxon,Reject,SVM(Lin),NB(M),Reject,SVM(Lin),NB(M),DataClass,,,,,,
40,SVM(Lin),LDA,Wilcoxon,Reject,SVM(Lin),LDA,Accept,,,DataClass,,,,,,
41,SVM(Lin),KNN,Wilcoxon,Reject,KNN,SVM(Lin),Accept,,,DataClass,,,,,,
42,SVM(Lin),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(Lin),Reject,Stack-LR,SVM(Lin),DataClass,,,,,,
43,SVM(Lin),Stack-DT,Wilcoxon,Reject,Stack-DT,SVM(Lin),Reject,Stack-DT,SVM(Lin),DataClass,,,,,,
44,SVM(Lin),Stack-SVM,Wilcoxon,Reject,Stack-SVM,SVM(Lin),Reject,Stack-SVM,SVM(Lin),DataClass,,,,,,
45,SVM(Poly),SVM(Sig),Wilcoxon,Reject,SVM(Poly),SVM(Sig),Reject,SVM(Poly),SVM(Sig),DataClass,,,,,,
46,SVM(Poly),SVM(RBF),Wilcoxon,Reject,SVM(RBF),SVM(Poly),Reject,SVM(RBF),SVM(Poly),DataClass,,,,,,
47,SVM(Poly),MLP,Wilcoxon,Reject,MLP,SVM(Poly),Reject,MLP,SVM(Poly),DataClass,,,,,,
48,SVM(Poly),SGD,Wilcoxon,Reject,SVM(Poly),SGD,Reject,SVM(Poly),SGD,DataClass,,,,,,
49,SVM(Poly),GP,Wilcoxon,Reject,GP,SVM(Poly),Reject,GP,SVM(Poly),DataClass,,,,,,
50,SVM(Poly),NB(B),Wilcoxon,Accept,,,Accept,,,DataClass,,,,,,
51,SVM(Poly),NB(G),Wilcoxon,Reject,SVM(Poly),NB(G),Reject,SVM(Poly),NB(G),DataClass,,,,,,
52,SVM(Poly),NB(M),Wilcoxon,Reject,SVM(Poly),NB(M),Reject,SVM(Poly),NB(M),DataClass,,,,,,
53,SVM(Poly),LDA,Wilcoxon,Accept,,,Accept,,,DataClass,,,,,,
54,SVM(Poly),KNN,Wilcoxon,Reject,KNN,SVM(Poly),Reject,KNN,SVM(Poly),DataClass,,,,,,
55,SVM(Poly),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(Poly),Reject,Stack-LR,SVM(Poly),DataClass,,,,,,
56,SVM(Poly),Stack-DT,Wilcoxon,Reject,Stack-DT,SVM(Poly),Reject,Stack-DT,SVM(Poly),DataClass,,,,,,
57,SVM(Poly),Stack-SVM,Wilcoxon,Reject,Stack-SVM,SVM(Poly),Reject,Stack-SVM,SVM(Poly),DataClass,,,,,,
58,SVM(Sig),SVM(RBF),Wilcoxon,Reject,SVM(RBF),SVM(Sig),Reject,SVM(RBF),SVM(Sig),DataClass,,,,,,
59,SVM(Sig),MLP,Wilcoxon,Reject,MLP,SVM(Sig),Reject,MLP,SVM(Sig),DataClass,,,,,,
60,SVM(Sig),SGD,Wilcoxon,Reject,SVM(Sig),SGD,Reject,SVM(Sig),SGD,DataClass,,,,,,
61,SVM(Sig),GP,Wilcoxon,Reject,GP,SVM(Sig),Reject,GP,SVM(Sig),DataClass,,,,,,
62,SVM(Sig),NB(B),Wilcoxon,Reject,NB(B),SVM(Sig),Reject,NB(B),SVM(Sig),DataClass,,,,,,
63,SVM(Sig),NB(G),Wilcoxon,Reject,SVM(Sig),NB(G),Reject,SVM(Sig),NB(G),DataClass,,,,,,
64,SVM(Sig),NB(M),Wilcoxon,Reject,NB(M),SVM(Sig),Reject,NB(M),SVM(Sig),DataClass,,,,,,
65,SVM(Sig),LDA,Wilcoxon,Reject,LDA,SVM(Sig),Reject,LDA,SVM(Sig),DataClass,,,,,,
66,SVM(Sig),KNN,Wilcoxon,Reject,KNN,SVM(Sig),Reject,KNN,SVM(Sig),DataClass,,,,,,
67,SVM(Sig),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(Sig),Reject,Stack-LR,SVM(Sig),DataClass,,,,,,
68,SVM(Sig),Stack-DT,Wilcoxon,Reject,Stack-DT,SVM(Sig),Reject,Stack-DT,SVM(Sig),DataClass,,,,,,
69,SVM(Sig),Stack-SVM,Wilcoxon,Reject,Stack-SVM,SVM(Sig),Reject,Stack-SVM,SVM(Sig),DataClass,,,,,,
70,SVM(RBF),MLP,Wilcoxon,Accept,,,Accept,,,DataClass,,,,,,
71,SVM(RBF),SGD,Wilcoxon,Reject,SVM(RBF),SGD,Reject,SVM(RBF),SGD,DataClass,,,,,,
72,SVM(RBF),GP,Wilcoxon,Reject,GP,SVM(RBF),Accept,,,DataClass,,,,,,
73,SVM(RBF),NB(B),Wilcoxon,Reject,SVM(RBF),NB(B),Reject,SVM(RBF),NB(B),DataClass,,,,,,
74,SVM(RBF),NB(G),Wilcoxon,Reject,SVM(RBF),NB(G),Reject,SVM(RBF),NB(G),DataClass,,,,,,
75,SVM(RBF),NB(M),Wilcoxon,Reject,SVM(RBF),NB(M),Reject,SVM(RBF),NB(M),DataClass,,,,,,
76,SVM(RBF),LDA,Wilcoxon,Reject,SVM(RBF),LDA,Reject,SVM(RBF),LDA,DataClass,,,,,,
77,SVM(RBF),KNN,Wilcoxon,Reject,SVM(RBF),KNN,Accept,,,DataClass,,,,,,
78,SVM(RBF),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(RBF),Reject,Stack-LR,SVM(RBF),DataClass,,,,,,
79,SVM(RBF),Stack-DT,Wilcoxon,Reject,Stack-DT,SVM(RBF),Reject,Stack-DT,SVM(RBF),DataClass,,,,,,
80,SVM(RBF),Stack-SVM,Wilcoxon,Reject,Stack-SVM,SVM(RBF),Reject,Stack-SVM,SVM(RBF),DataClass,,,,,,
81,MLP,SGD,Wilcoxon,Reject,MLP,SGD,Reject,MLP,SGD,DataClass,,,,,,
82,MLP,GP,Wilcoxon,Reject,GP,MLP,Reject,GP,MLP,DataClass,,,,,,
83,MLP,NB(B),Wilcoxon,Reject,MLP,NB(B),Reject,MLP,NB(B),DataClass,,,,,,
84,MLP,NB(G),Wilcoxon,Reject,MLP,NB(G),Reject,MLP,NB(G),DataClass,,,,,,
85,MLP,NB(M),Wilcoxon,Reject,MLP,NB(M),Reject,MLP,NB(M),DataClass,,,,,,
86,MLP,LDA,Wilcoxon,Reject,MLP,LDA,Reject,MLP,LDA,DataClass,,,,,,
87,MLP,KNN,Wilcoxon,Reject,MLP,KNN,Accept,,,DataClass,,,,,,
88,MLP,Stack-LR,Wilcoxon,Reject,Stack-LR,MLP,Reject,Stack-LR,MLP,DataClass,,,,,,
89,MLP,Stack-DT,Wilcoxon,Reject,Stack-DT,MLP,Reject,Stack-DT,MLP,DataClass,,,,,,
90,MLP,Stack-SVM,Wilcoxon,Reject,Stack-SVM,MLP,Reject,Stack-SVM,MLP,DataClass,,,,,,
91,SGD,GP,Wilcoxon,Reject,GP,SGD,Reject,GP,SGD,DataClass,,,,,,
92,SGD,NB(B),Wilcoxon,Reject,NB(B),SGD,Reject,NB(B),SGD,DataClass,,,,,,
93,SGD,NB(G),Wilcoxon,Reject,SGD,NB(G),Accept,,,DataClass,,,,,,
94,SGD,NB(M),Wilcoxon,Reject,NB(M),SGD,Reject,NB(M),SGD,DataClass,,,,,,
95,SGD,LDA,Wilcoxon,Reject,LDA,SGD,Reject,LDA,SGD,DataClass,,,,,,
96,SGD,KNN,Wilcoxon,Reject,KNN,SGD,Reject,KNN,SGD,DataClass,,,,,,
97,SGD,Stack-LR,Wilcoxon,Reject,Stack-LR,SGD,Reject,Stack-LR,SGD,DataClass,,,,,,
98,SGD,Stack-DT,Wilcoxon,Reject,Stack-DT,SGD,Reject,Stack-DT,SGD,DataClass,,,,,,
99,SGD,Stack-SVM,Wilcoxon,Reject,Stack-SVM,SGD,Reject,Stack-SVM,SGD,DataClass,,,,,,
